season,match_no,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2019/20,3rd,Dhaka Platoon,134/9,Rajshahi Royals,136/1,Ravi Bopara,Rajshahi Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 12 2019,9,0,9 wickets,Gazi Sohel,Sharfuddoula
2019/20,9th,Rajshahi Royals,189/4,Khulna Tigers,192/5,Mushfiqur Rahim,Khulna Tigers,field first,Tigers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 17 2019,5,0,5 wickets,Prageeth Rambukwella,Sharfuddoula
2019/20,6th,Dhaka Platoon,180/7,Cumilla Warriors,160/9,Thisara Perera,Cumilla Warriors,field first,Platoon,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 13 2019,0,20,20 runs,Masudur Rahman,Prageeth Rambukwella
2019/20,7th,Rangpur Rangers,157/8,Chattogram Challengers,158/4,Mohammad Naim,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 14 2019,6,0,6 wickets,Morshed Ali Khan,Sharfuddoula
2019/20,10th,Sylhet Thunder,129/8,Chattogram Challengers,130/6,Mehedi Hasan Rana,Chattogram Challengers,field first,Challengers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 17 2019,4,0,4 wickets,David Millns,Masudur Rahman
2019/20,8th,Dhaka Platoon,182/4,Sylhet Thunder,158/7,Anamul Haque,Sylhet Thunder,field first,Platoon,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 14 2019,0,24,24 runs,Masudur Rahman,Prageeth Rambukwella
2019/20,12th,Chattogram Challengers,221/4,Dhaka Platoon,205,Mehedi Hasan Rana,Dhaka Platoon,field first,Challengers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 18 2019,0,16,16 runs,Prageeth Rambukwella,Sharfuddoula
2019/20,11th,Rangpur Rangers,181/8,Cumilla Warriors,182/4,Dawid Malan,Rangpur Rangers,bat first,Warriors,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 18 2019,6,0,6 wickets,David Millns,Mahfuzur Rahman
2019/20,13th,Rangpur Rangers,137/9,Khulna Tigers,138/2,Shafiul Islam,Khulna Tigers,field first,Tigers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 20 2019,8,0,8 wickets,Prageeth Rambukwella,Tanvir Ahmed
2019/20,14th,Chattogram Challengers,238/4,Cumilla Warriors,222/7,Chadwick Walton,Cumilla Warriors,field first,Challengers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 20 2019,0,16,16 runs,D Milns,Masudur Rahman
2019/20,16th,Chattogram Challengers,163/7,Rangpur Rangers,167/4,Lewis Gregory,Rangpur Rangers,field first,Rangers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 21 2019,6,0,6 wickets,David Millns,Masudur Rahman
2018/19,Final,Comilla Victorians,199/3,Dhaka Dynamites,182/9,Tamim Iqbal,Dhaka Dynamites,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 8 2019,0,17,17 runs,Alex Wharf,Ranmore Martinesz
2016/17,Final,Dhaka Dynamites,159/9,Rajshahi Kings,103,Kumar Sangakkara,Rajshahi Kings,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 9 2016,0,56,56 runs,Khalid Mahmood,Mahfuzur Rahman
2019/20,15th,Sylhet Thunder,232/5,Khulna Tigers,152,Andre Fletcher,Khulna Tigers,field first,Thunder,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 21 2019,0,80,80 runs,Mahfuzur Rahman,Prageeth Rambukwella
2017/18,7th,Chittagong Vikings,166/4,Rangpur Riders,155/8,Taskin Ahmed,Rangpur Riders,field first,Vikings,Sylhet International Cricket Stadium,Stadium, Nov 8 2017,0,11,11 runs,Riazuddin,Sharfuddoula
2017/18,6th,Sylhet Sixers,205/6,Rajshahi Kings,172/8,Danushka Gunathilaka,Rajshahi Kings,field first,Sixers,Sylhet International Cricket Stadium,Stadium, Nov 7 2017,0,33,33 runs,Anisur Rahman,Riazuddin
2017/18,13th,Khulna Titans,156/5,Dhaka Dynamites,157/6,Jahurul Islam,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 14 2017,4,0,4 wickets,Mahfuzur Rahman,Ranmore Martinesz
2017/18,10th,Sylhet Sixers,101/9,Dhaka Dynamites,106/2,Shahid Afridi,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 11 2017,8,0,8 wickets,Nadir Shah,Ranmore Martinesz
2017/18,12th,Rajshahi Kings,115/7,Comilla Victorians,120/1,Rashid Khan,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 12 2017,9,0,9 wickets,Masudur Rahman,Riazuddin
2017/18,11th,Khulna Titans,170/7,Chittagong Vikings,152/7,Abu Jayed,Chittagong Vikings,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 12 2017,0,18,18 runs,Mahfuzur Rahman,Ranmore Martinesz
2017/18,9th,Rangpur Riders,134/5,Rajshahi Kings,138/2,Mominul Haque,Rangpur Riders,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 11 2017,8,0,8 wickets,Anisur Rahman,Riazuddin
2017/18,8th,Sylhet Sixers,135/5,Khulna Titans,138/4,Mahmudullah,Khulna Titans,field first,Titans,Sylhet International Cricket Stadium,Stadium, Nov 8 2017,6,0,6 wickets,Anisur Rahman,Masudur Rahman
2017/18,14th,Chittagong Vikings,139/4,Comilla Victorians,140/4,Imrul Kayes,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 14 2017,6,0,6 wickets,Riazuddin,Sharfuddoula
2017/18,17th,Sylhet Sixers,146/6,Rajshahi Kings,150/3,Zakir Hasan,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 17 2017,7,0,7 wickets,Mahfuzur Rahman,Ranmore Martinesz
2017/18,20th,Comilla Victorians,153/6,Rangpur Riders,139/7,Mahedi Hasan,Rangpur Riders,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 18 2017,0,14,14 runs,Mahfuzur Rahman,Ranmore Martinesz
2017/18,18th,Chittagong Vikings,160/5,Khulna Titans,164/5,Rilee Rossouw,Khulna Titans,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 17 2017,5,0,5 wickets,Nadir Shah,Riazuddin
2017/18,19th,Dhaka Dynamites,201/7,Rajshahi Kings,133,Evin Lewis,Rajshahi Kings,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 18 2017,0,68,68 runs,Nadir Shah,Riazuddin
2017/18,21st,Dhaka Dynamites,128,Comilla Victorians,129/6,Hasan Ali,Dhaka Dynamites,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 20 2017,4,0,4 wickets,Masudur Rahman,Ranmore Martinesz
2017/18,24th,Rangpur Riders,142,Dhaka Dynamites,139,Chris Gayle,Dhaka Dynamites,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 21 2017,0,3,3 runs,Anisur Rahman,Riazuddin
2019/20,21st,Dhaka Platoon,124/9,Chattogram Challengers,125/4,Imrul Kayes,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 27 2019,6,0,6 wickets,David Millns,Sharfuddoula
2017/18,23rd,Rajshahi Kings,166/8,Khulna Titans,168/8,Ariful Haque,Khulna Titans,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 21 2017,2,0,2 wickets,Nadir Shah,Sharfuddoula
2017/18,22nd,Rangpur Riders,169/7,Sylhet Sixers,162/4,Chris Gayle,Sylhet Sixers,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 20 2017,0,7,7 runs,Anisur Rahman,Riazuddin
2019/20,20th,Cumilla Warriors,170/8,Rajshahi Royals,171/3,Dawid Malan,Rajshahi Royals,field first,Royals,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 24 2019,7,0,7 wickets,Dawid Malan,Afif Hossain
2019/20,22nd,Khulna Tigers,182/7,Rangpur Rangers,130/9,Shohidul Islam,Rangpur Rangers,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 27 2019,0,52,52 runs,Mahfuzur Rahman,Prageeth Rambukwella
2019/20,23rd,Rajshahi Royals,190/4,Cumilla Warriors,175/4,Shoaib Malik,Cumilla Warriors,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 28 2019,0,15,15 runs,David Millns,Morshed Ali Khan
2019/20,24th,Sylhet Thunder,157/4,Khulna Tigers,158/2,Mehidy Hasan Miraz,Khulna Tigers,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 28 2019,8,0,8 wickets,Mahfuzur Rahman,Prageeth Rambukwella
2019/20,30th,Cumilla Warriors,140/9,Sylhet Thunder,140,Mujeeb Ur Rahman,Sylhet Thunder,field first,Match,Sylhet International Cricket Stadium,Stadium, Jan 2 2020,0,0,won the,Masudur Rahman,Prageeth Rambukwella
2019/20,25th,Sylhet Thunder,133/9,Rangpur Rangers,134/3,Mustafizur Rahman,Rangpur Rangers,field first,Rangers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 30 2019,7,0,7 wickets,Moniruzzaman,Prageeth Rambukwella
2019/20,26th,Dhaka Platoon,174/5,Rajshahi Royals,100,Wahab Riaz,Rajshahi Royals,field first,Platoon,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 30 2019,0,74,74 runs,D Milns,Tanvir Ahmed
2019/20,28th,Rangpur Rangers,182/6,Rajshahi Royals,135/8,Lewis Gregory,Rajshahi Royals,field first,Rangers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 31 2019,0,47,47 runs,David Millns,Tanvir Ahmed
2019/20,32nd,Rangpur Rangers,199/5,Sylhet Thunder,161,Shane Watson,Sylhet Thunder,field first,Rangers,Sylhet International Cricket Stadium,Stadium, Jan 3 2020,0,38,38 runs,David Millns,Gazi Sohel
2019/20,31st,Dhaka Platoon,172/4,Khulna Tigers,160/8,Hasan Mahmud,Khulna Tigers,field first,Platoon,Sylhet International Cricket Stadium,Stadium, Jan 3 2020,0,12,12 runs,Prageeth Rambukwella,Tanvir Ahmed
2019/20,27th,Chattogram Challengers,159/6,Cumilla Warriors,161/8,Dawid Malan,Cumilla Warriors,field first,Warriors,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 31 2019,2,0,2 wickets,Masudur Rahman,Prageeth Rambukwella
2019/20,29th,Rajshahi Royals,179/4,Rangpur Rangers,149/7,Ravi Bopara,Rangpur Rangers,field first,Royals,Sylhet International Cricket Stadium,Stadium, Jan 2 2020,0,30,30 runs,David Millns,Mahfuzur Rahman
2019/20,35th,Sylhet Thunder,141/5,Cumilla Warriors,142/5,Dawid Malan,Cumilla Warriors,field first,Warriors,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 7 2020,5,0,5 wickets,Gazi Sohel,Prageeth Rambukwella
2019/20,34th,Sylhet Thunder,143/6,Rajshahi Royals,145/4,Afif Hossain,Sylhet Thunder,bat first,Royals,Sylhet International Cricket Stadium,Stadium, Jan 4 2020,6,0,6 wickets,Prageeth Rambukwella,Tanvir Ahmed
2019/20,33rd,Khulna Tigers,121,Chattogram Challengers,124/4,Mehedi Hasan Rana,Chattogram Challengers,field first,Challengers,Sylhet International Cricket Stadium,Stadium, Jan 4 2020,6,0,6 wickets,David Millns,Mahfuzur Rahman
2019/20,36th,Rajshahi Royals,166/8,Chattogram Challengers,170/3,Imrul Kayes,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 7 2020,7,0,7 wickets,David Millns,Morshed Ali Khan
2019/20,37th,Khulna Tigers,179/2,Cumilla Warriors,145,Robbie Frylinck,Cumilla Warriors,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 8 2020,0,34,34 runs,David Millns,Gazi Sohel
2019/20,40th,Khulna Tigers,218/2,Cumilla Warriors,126/9,Mushfiqur Rahim,Cumilla Warriors,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 10 2020,0,92,92 runs,Gazi Sohel,Prageeth Rambukwella
2019/20,38th,Dhaka Platoon,145/9,Rangpur Rangers,84,Shadab Khan,Rangpur Rangers,field first,Platoon,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 8 2020,0,61,61 runs,Mahfuzur Rahman,Prageeth Rambukwella
2019/20,39th,Rangpur Rangers,149/9,Dhaka Platoon,138/9,Lewis Gregory,Dhaka Platoon,field first,Rangers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 10 2020,0,11,11 runs,David Millns,Tanvir Ahmed
2019/20,42nd,Dhaka Platoon,205/4,Khulna Tigers,207/2,Najmul Hossain Shanto,Khulna Tigers,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 11 2020,8,0,8 wickets,David Millns,Mahfuzur Rahman
2019/20,"Eliminator,",Dhaka Platoon,144/8,Chattogram Challengers,147/3,Rayad Emrit,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 13 2020,7,0,7 wickets,David Millns,Mahfuzur Rahman
2019/20,41st,Chattogram Challengers,155/5,Rajshahi Royals,156/2,Litton Das,Rajshahi Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 11 2020,8,0,8 wickets,Prageeth Rambukwella,Tanvir Ahmed
2019/20,2nd,Chattogram Challengers,164/9,Rajshahi Royals,165/8,Andre Russell,Rajshahi Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 15 2020,2,0,2 wickets,David Millns,Mahfuzur Rahman
2019/20,1st,Khulna Tigers,158/3,Rajshahi Royals,131,Mohammad Amir,Rajshahi Royals,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 13 2020,0,27,27 runs,Gazi Sohel,Prageeth Rambukwella
2017/18,25th,Khulna Titans,158/8,Rangpur Riders,149/6,Mahmudullah,Rangpur Riders,field first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 24 2017,0,9,9 runs,Morshed Ali Khan,Riazuddin
2017/18,29th,Chittagong Vikings,187/5,Dhaka Dynamites,191/3,Evin Lewis,Chittagong Vikings,bat first,Dynamites,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 27 2017,7,0,7 wickets,Nadir Shah,Riazuddin
2017/18,26th,Chittagong Vikings,211/5,Sylhet Sixers,171/8,Sikandar Raza,Sylhet Sixers,field first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 24 2017,0,40,40 runs,Anisur Rahman,Tanvir Ahmed
2017/18,30th,Khulna Titans,213/5,Rajshahi Kings,145,Nicholas Pooran,Rajshahi Kings,field first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 27 2017,0,68,68 runs,Gazi Sohel,Mahfuzur Rahman
2017/18,31st,Sylhet Sixers,173/5,Rangpur Riders,177/6,Nazmul Islam,Rangpur Riders,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 28 2017,4,0,4 wickets,Mahfuzur Rahman,Ranmore Martinesz
2017/18,27th,Rajshahi Kings,185/7,Comilla Victorians,155,Daren Sammy,Rajshahi Kings,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 25 2017,0,30,30 runs,Anisur Rahman,Morshed Ali Khan
2017/18,28th,Chittagong Vikings,176/7,Rangpur Riders,180/7,Mashrafe Mortaza,Rangpur Riders,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 25 2017,3,0,3 wickets,Riazuddin,Tanvir Ahmed
2017/18,32nd,Khulna Titans,111,Comilla Victorians,112/1,Shoaib Malik,Khulna Titans,bat first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 28 2017,9,0,9 wickets,Nadir Shah,Riazuddin
2017/18,34th,Comilla Victorians,167/6,Dhaka Dynamites,155/8,Dwayne Bravo,Dhaka Dynamites,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 29 2017,0,12,12 runs,Nadir Shah,Riazuddin
2017/18,35th,Rangpur Riders,97,Comilla Victorians,100/6,Mahedi Hasan,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 2 2017,4,0,4 wickets,Nadir Shah,Ranmore Martinesz
2017/18,33rd,Rajshahi Kings,157/6,Chittagong Vikings,124,Daren Sammy,Rajshahi Kings,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 29 2017,0,33,33 runs,Nayeem Hasan,Qazi Onik
2017/18,36th,Dhaka Dynamites,205/5,Rajshahi Kings,106,Sunil Narine,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 2 2017,0,99,99 runs,Masudur Rahman,Riazuddin
2017/18,37th,Chittagong Vikings,67,Sylhet Sixers,68/0,Nasir Hossain,Sylhet Sixers,field first,Sixers,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 3 2017,10,0,10 wickets,Nadir Shah,Tanvir Ahmed
2017/18,38th,Rangpur Riders,147/6,Khulna Titans,128/8,Mohammad Mithun,Khulna Titans,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 3 2017,0,19,19 runs,Masudur Rahman,Riazuddin
2017/18,39th,Khulna Titans,174/6,Comilla Victorians,160/7,Ariful Haque,Khulna Titans,bat first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 5 2017,0,14,14 runs,Morshed Ali Khan,Riazuddin
2017/18,40th,Chittagong Vikings,194/2,Rajshahi Kings,149/9,Luis Reece,Rajshahi Kings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 5 2017,0,45,45 runs,Mahfuzur Rahman,Shafiuddin Ahmed
2017/18,"Eliminator,",Khulna Titans,167/6,Rangpur Riders,171/2,Chris Gayle,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 8 2017,8,0,8 wickets,Anisur Rahman,Masudur Rahman
2017/18,Qualifier,Dhaka Dynamites,191/7,Comilla Victorians,96,Shahid Afridi,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 8 2017,0,95,95 runs,Mahfuzur Rahman,Masudur Rahman
2017/18,41st,Dhaka Dynamites,137/7,Rangpur Riders,94/7,Shakib Al Hasan,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2017,0,43,43 runs,Nadir Shah,Riazuddin
2017/18,42nd,Comilla Victorians,170/4,Sylhet Sixers,145/7,Litton Das,Sylhet Sixers,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2017,0,25,25 runs,Akteruzzaman,Moniruzzaman
2015/16,2nd,Comilla Victorians,110/8,Dhaka Dynamites,112/4,Abul Hasan,Comilla Victorians,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 22 2015,6,0,6 wickets,Enamul Haque,Ranmore Martinesz
2015/16,1st,Chittagong Vikings,187/7,Rangpur Riders,188/8,Misbah-ul-Haq,Chittagong Vikings,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 22 2015,2,0,2 wickets,Enamul Haque,Sharfuddoula
2017/18,Qualifier,Rangpur Riders,192/3,Comilla Victorians,156,Johnson Charles,Comilla Victorians,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,0 - 11 2017,0,36,36 runs,Gazi Sohel,Raveendra Wimalasiri
2015/16,3rd,Chittagong Vikings,180/5,Sylhet Super Stars,179/6,Shafiul Islam,Sylhet Super Stars,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 23 2015,0,0,1 run,Masudur Rahman,Sharfuddoula
2015/16,4th,Barisal Bulls,155/9,Rangpur Riders,142,Kevon Cooper,Rangpur Riders,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 23 2015,0,13,13 runs,Enamul Haque,Masudur Rahman
2015/16,5th,Chittagong Vikings,176/4,Comilla Victorians,177/3,Mashrafe Mortaza,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 24 2015,7,0,7 wickets,Anisur Rahman,Ranmore Martinesz
